City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,minas de marcona,-15.2119,-75.1103,18.53,58,3,5.77,PE,1693253601
237,mola di bari,41.0609,17.0873,28.55,44,100,2.81,IT,1693253601
238,seven pagodas,12.6264,80.1722,29.03,81,100,7.93,IN,1693253602
239,cururupu,-1.8283,-44.8683,28.64,66,1,3.15,BR,1693253602
240,brasileia,-11.0161,-68.7481,34.25,43,70,1.54,BR,1693253602
241,luanda,-8.8368,13.2343,23.0,78,20,2.06,AO,1693253321
242,moose jaw,50.4001,-105.5344,28.96,29,4,4.66,CA,1693253435
243,kapa'a,22.0752,-159.319,30.18,74,20,5.14,US,1693253604
244,ilheus,-14.7889,-39.0494,25.92,76,44,3.38,BR,1693253312
245,honiara,-9.4333,159.95,24.7,89,100,1.63,SB,1693253604
246,basco,20.4487,121.9702,27.61,82,100,10.28,PH,1693253605
247,bokovskaya,49.229,41.8306,17.04,52,0,3.7,RU,1693253606
248,puerto baquerizo moreno,-0.9,-89.6,28.55,61,40,5.14,EC,1693253606
249,mili,6.0815,171.735,26.91,80,100,3.73,MH,1693253607
250,lebu,-37.6167,-73.65,10.22,81,100,5.41,CL,1693253607
251,el porvenir,13.7617,-87.3458,30.63,77,100,2.25,HN,1693253607
252,floro,61.5996,5.0328,13.04,88,100,6.17,NO,1693253338
253,port alberni,49.2413,-124.8028,23.85,64,87,1.34,CA,1693253392
254,lubango,-14.9172,13.4925,18.81,33,39,1.28,AO,1693253609
255,touros,-5.1989,-35.4608,26.79,70,0,4.81,BR,1693253553
256,margate,51.3813,1.3862,17.71,73,98,1.34,GB,1693253152
257,motueka,-41.1333,173.0167,3.94,76,11,1.92,NZ,1693253498
258,vila velha,-20.3297,-40.2925,19.97,98,100,1.54,BR,1693253528
259,bosobolo,4.1833,19.9,23.03,96,100,1.37,CD,1693253611
260,bure,10.7,37.0667,13.36,94,71,2.42,ET,1693253611
